Name,RootVideo,Season,VideoId,FullUrl
A Korean Odyssey,80214405,Season 1,80214288,https://www.netflix.com/watch/80214288?trackId=14277283&tctx=0%2C0%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214289,https://www.netflix.com/watch/80214289?trackId=14277283&tctx=0%2C1%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214290,https://www.netflix.com/watch/80214290?trackId=14277283&tctx=0%2C2%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214291,https://www.netflix.com/watch/80214291?trackId=14277283&tctx=0%2C3%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214292,https://www.netflix.com/watch/80214292?trackId=14277283&tctx=0%2C4%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214293,https://www.netflix.com/watch/80214293?trackId=14277283&tctx=0%2C5%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214294,https://www.netflix.com/watch/80214294?trackId=14277283&tctx=0%2C6%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214295,https://www.netflix.com/watch/80214295?trackId=14277283&tctx=0%2C7%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214296,https://www.netflix.com/watch/80214296?trackId=14277283&tctx=0%2C8%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214297,https://www.netflix.com/watch/80214297?trackId=14277283&tctx=0%2C9%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214298,https://www.netflix.com/watch/80214298?trackId=14277283&tctx=0%2C10%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214299,https://www.netflix.com/watch/80214299?trackId=14277283&tctx=0%2C11%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214500,https://www.netflix.com/watch/80214500?trackId=14277283&tctx=0%2C12%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
A Korean Odyssey,80214405,Season 1,80214501,https://www.netflix.com/watch/80214501?trackId=14277283&tctx=0%2C13%2C396d4f7e-053f-483d-997b-cfe6c2b5f323-19831691%2C%2C
